Признак,Бодрый (среднее),Бодрый (мин–макс),Бодрый (std),Предусталость (среднее),Предусталость (мин–макс),Предусталость (std),Сонливый (среднее),Сонливый (мин–макс),Сонливый (std)
Среднее EAR,0.286,0.258–0.333,0.018,0.265,0.176–0.340,0.035,0.264,0.165–0.324,0.035
Частота морганий (морг./мин),12.213,0.000–43.000,8.683,15.565,2.000–41.000,6.516,18.427,4.000–79.000,11.187
Ср. длительность моргания (мс),165.948,0.000–400.000,58.673,348.899,83.200–4022.500,424.870,400.677,88.700–2692.500,369.043
Длинные моргания (>500 мс),0.310,0.000–6.000,0.816,1.649,0.000–18.000,3.442,2.640,0.000–19.000,4.158
PERCLOS,0.035,0.001–0.141,0.029,0.089,0.004–0.690,0.107,0.145,0.013–0.816,0.178
Количество зеваний,0.000,0.000–0.000,0.000,0.000,0.000–0.000,0.000,0.220,0.000–2.000,0.492
